# Ghidra Function Export: client.dll
# Total functions: 1352
# Named (non-FUN_): 436
# Auto-named (FUN_): 916
# Thunks: 48
# External: 0
# Format: address | size | refs | calling_conv | flags | name
#====================================================================================================
100270c0 |    119 |    1 | __fastcall   | -          | FUN_100270c0
10027140 |     59 |    1 | __thiscall   | -          | FUN_10027140
10027320 |    183 |    1 | __stdcall    | -          | FUN_10027320
100273e0 |     12 |    1 | __stdcall    | -          | FUN_100273e0
10027400 |     22 |    2 | __cdecl      | -          | HUD_GetHullBounds
10027420 |     13 |    2 | __stdcall    | -          | HUD_ConnectionlessPacket
10027430 |     12 |    2 | __cdecl      | -          | HUD_PlayerMoveInit
10027440 |     14 |    2 | __cdecl      | -          | HUD_PlayerMoveTexture
10027450 |     19 |    2 | __cdecl      | -          | HUD_PlayerMove
10027470 |     59 |    2 | __cdecl      | -          | Initialize
100274b0 |     21 |    2 | __stdcall    | -          | HUD_VidInit
100274d0 |     26 |    2 | __stdcall    | -          | HUD_Init
